column_name,dtype,n_missing,pct_missing,n_unique,example_values,proposed_role
TRUST_SCI_concerned,float64,38,0.05,5,4.0; 1.0; 3.0,trust item - scientists are concerned about public welfare (1-5 Likert)
TRUST_SCI_open,float64,39,0.05,5,3.0; 1.0; 2.0,trust item - scientists are open to other viewpoints (1-5 Likert)
TRUST_SCI_intellig,float64,35,0.05,5,4.0; 2.0; 5.0,trust item - scientists are intelligent (1-5 Likert)
TRUST_SCI_ethical,float64,33,0.05,5,4.0; 1.0; 3.0,trust item - scientists behave ethically (1-5 Likert)
TRUST_SCI_improve,float64,37,0.05,5,3.0; 1.0; 2.0,trust item - science improves quality of life (1-5 Likert)
TRUST_SCI_trans,float64,33,0.05,5,4.0; 1.0; 2.0,trust item - scientists are transparent (1-5 Likert)
TRUST_SCI_qualified,float64,39,0.05,5,4.0; 1.0; 5.0,trust item - scientists are qualified (1-5 Likert)
TRUST_SCI_sincere,float64,41,0.06,5,3.0; 1.0; 2.0,trust item - scientists are sincere (1-5 Likert)
TRUST_SCI_otherint,float64,49,0.07,5,4.0; 2.0; 3.0,trust item - scientists consider interests of others (1-5 Likert)
TRUST_SCI_otherviews,float64,46,0.06,5,3.0; 2.0; 4.0,trust item - scientists consider views of others (1-5 Likert)
TRUST_METHOD,float64,16,0.02,5,4.0; 5.0; 3.0,predictor/mediator - trust in the scientific method (1-5 Likert; science knowledge proxy)
TRUST_PEW,float64,33,0.05,5,4.0; 1.0; 3.0,
OUTSPOKEN_othersthink,float64,40,0.06,5,4.0; 3.0; 5.0,
OUTSPOKEN_isolate,float64,40,0.06,5,3.0; 5.0; 4.0,
OUTSPOKEN_against,float64,48,0.07,5,4.0; 3.0; 5.0,
SCIPOP_common,float64,46,0.06,5,5.0; 2.0; 4.0,populism item - science should follow common people (1-5 Likert)
SCIPOP_good,float64,51,0.07,5,5.0; 1.0; 3.0,populism item - science for the common good (1-5 Likert)
SCIPOP_advantage,float64,57,0.08,5,5.0; 2.0; 3.0,populism item - science advantages elite (1-5 Likert)
SCIPOP_cahoots,float64,59,0.08,5,5.0; 2.0; 4.0,populism item - scientists in cahoots with powerful (1-5 Likert)
SCIPOP_influence,float64,51,0.07,5,5.0; 2.0; 3.0,populism item - scientists influenced by politics (1-5 Likert)
SCIPOP_involved,float64,35,0.05,5,5.0; 2.0; 4.0,populism item - scientists too involved with government (1-5 Likert)
SCIPOP_lifeexp,float64,31,0.04,5,5.0; 3.0; 2.0,populism item - science does not reflect lived experience (1-5 Likert)
SCIPOP_rely,float64,38,0.05,5,5.0; 3.0; 2.0,populism item - cannot rely on scientists (1-5 Likert)
ATTCHECK_RES,int64,0,0.0,6,1; 4; 3,
SDO_allgroupsconsider,float64,1197,1.66,10,7.0; 9.0; 8.0,
SDO_notpushequality,float64,1214,1.69,10,7.0; 1.0; 2.0,
SDO_equalityideal,float64,1197,1.66,10,8.0; 10.0; 2.0,
